platform,product,title,text,date
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,Who's here cause they got one from Stupefy?.. oh sorry wrong universe.,2021-02-01T23:11:37Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,"Hey google, thanks for giving yourself to me for 7 dollars",2021-01-31T23:11:45Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,I still can't believe that it's been 3 years since this came out.,2021-01-25T09:12:02Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,Loved the video and you are so handsome 😉,2021-01-18T04:56:30Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,i hate how it's triggering all my google home mini xD,2021-01-17T14:17:31Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,Perfect pocket spy for Google to record people's daily data so they started giving it almost free.,2021-01-11T14:37:04Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,How far it can detect voice ? The range.,2021-01-04T10:50:37Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,"For average person like me, I would just use it as a bluetooth speaker lol",2020-12-29T05:06:08Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,"The humorous aunt inversely worry because field dimensionally tick until a encouraging uganda. sincere, glistening glorious stinger",2020-12-28T21:46:01Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,Just bought 4 at 35.99 at Costco,2020-12-24T15:59:53Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,"agreed with the mute switch, it might've been easier for it to be a button. but the thing is, with the google home, there are light indicators that you can conveniently check, wether it's muted or not. but for the google home mini, they used the button to help the users understand more that it's on mute (granted that they flipped the switch rather than just saying it), as you can see there's a color indicator on the switch. haha just a random comment 3 yrs later, don't mind me.",2020-12-22T20:21:10Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,"The careful paperback ectrodactyly melt because chime unusually admire by a female fertile node. equal, woebegone pleasure",2020-12-15T16:27:34Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,I'm here because I bought one and I thought it was portable,2020-12-13T01:05:48Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,Can you do a video on the 4th gen echo dot,2020-12-09T14:48:31Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,"Can i use 2 mini.s in 1 room for bigger sound,stay safe.2020",2020-12-07T22:43:26Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,My mom wanted to go to Walmart to do normal shopping and we went to the System sections And I was like “omg mom this  is the google thinging I was talking about can we buy it” and mom just didn’t care and bought it and at night It played Something SO LOUD AND MY AUNT WAS SLEEPING and we decided to call her phone but we called a randome person😅😅,2020-12-06T07:03:14Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,"It convinced me at 18.99 , not bad  for a speaker that costs about 20 bucks",2020-12-01T16:04:09Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,1:45 i liked the mini's sound over the normal sized one,2020-11-18T13:36:12Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,Who's Spotify here because they Google free one got?,2020-11-01T20:44:43Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,"The levels of evolution of the Pokémon Google home
1- Google mini
2- Google home
3- Google home max",2020-10-30T18:35:11Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,2:20 and they Replaced it from Micro Usb To DC port  with the nest mini😅🤣,2020-10-29T04:54:11Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,I received mine free from P A N D O R A 🔥,2020-10-27T18:55:03Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,Google gave me a free one,2020-10-26T00:52:42Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,Amazon echo is better,2020-10-24T21:28:46Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,Funny I was going through my Twitter last year but I’m just going through my head right after the night before and then I’ll just take care and,2020-10-24T00:23:33Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,Oh. Many people got it from Spotify well......... I purchased my Alexa not Google because I own a prime membership,2020-10-22T05:58:16Z
